slug,species,name,size,grooming,health_risk,purchase_low,purchase_typical,purchase_high,avg_life,notes,source_url,last_reviewed
labrador-retriever,dog,Labrador Retriever,large,1.00,1.10,800,1500,3500,11,Prone to hip/elbow dysplasia and obesity. Healthy weight management saves significant routine-vet cost over a lifetime.,https://www.akc.org/dog-breeds/,2026-05
french-bulldog,dog,French Bulldog,small,1.10,1.55,1500,3500,8000,9,"Brachycephalic — higher rates of respiratory issues, allergies, and C-section births. Insurance is often a strong fit for this breed.",https://www.akc.org/dog-breeds/,2026-05
golden-retriever,dog,Golden Retriever,large,1.10,1.20,500,1200,3500,11,Coat requires regular grooming. Hip dysplasia common. Generally healthy and responsive to vet care.,https://www.akc.org/dog-breeds/,2026-05
german-shepherd,dog,German Shepherd,large,1.05,1.25,500,1000,3000,10,Hip dysplasia is common. High energy requires good nutrition and preventive care.,https://www.akc.org/dog-breeds/,2026-05
bulldog,dog,Bulldog,small,0.90,1.70,1000,3000,8000,8,"Brachycephalic with frequent respiratory, skin, and joint issues. One of the higher-cost breeds.",https://www.akc.org/dog-breeds/,2026-05
maine-coon,cat,Maine Coon,large,1.60,1.30,800,1500,3000,13,Long coat means real grooming costs. Hypertrophic cardiomyopathy (HCM) screening is recommended.,https://cfa.org/breeds/,2026-05
persian,cat,Persian,small,2.00,1.35,500,1200,3500,11,Extensive grooming required to prevent matting. Prone to eye issues and respiratory problems.,https://cfa.org/breeds/,2026-05
siamese,cat,Siamese,small,0.80,1.10,400,800,2000,14,Generally healthy. Low grooming needs. Minimal breed-specific health issues.,https://cfa.org/breeds/,2026-05
ragdoll,cat,Ragdoll,large,1.40,1.15,600,1200,3000,14,Large breed with moderate grooming needs. Generally healthy with good lifespan.,https://cfa.org/breeds/,2026-05
chihuahua,dog,Chihuahua,toy,0.60,1.00,300,800,1500,14,"Small, generally healthy. Dental disease and patellar luxation are the most common cost drivers. Long lifespan spreads costs across more years.",https://www.akc.org/dog-breeds/,2026-05
poodle,dog,Poodle (Standard),large,1.65,1.10,1000,2000,3500,12,Hypoallergenic coat needs professional grooming every 4-8 weeks. Generally healthy compared to other large breeds.,https://www.akc.org/dog-breeds/,2026-05
dachshund,dog,Dachshund,small,0.80,1.30,500,1200,2500,13,"Long-bodied breed with elevated risk of intervertebral disc disease (IVDD). Surgery for severe cases can run $4,000-$8,000.",https://www.akc.org/dog-breeds/,2026-05
rottweiler,dog,Rottweiler,giant,0.90,1.30,1000,2000,3500,9,"Large body, deep chest. Hip/elbow dysplasia, bone cancer risk, and bloat (GDV) are documented. Anesthesia and surgical costs scale with size.",https://www.akc.org/dog-breeds/,2026-05
australian-shepherd,dog,Australian Shepherd,medium,1.30,1.15,700,1400,2500,13,Heavy double coat needs regular brushing. Watch for MDR1 gene mutation affecting drug sensitivity — ask the vet to flag.,https://www.akc.org/dog-breeds/,2026-05
pitbull,dog,Pit Bull / American Staffordshire Terrier,large,0.70,1.10,100,500,1500,12,Generally healthy; skin allergies and ACL tears are most common. Insurance and rental policies sometimes apply breed-specific rules — check before adopting.,https://www.akc.org/dog-breeds/,2026-05
beagle,dog,Beagle,small,0.70,1.05,300,700,1500,13,Generally healthy. Watch obesity (food-driven breed) and ear infections (drop ears).,https://www.akc.org/dog-breeds/,2026-05
boxer,dog,Boxer,large,0.70,1.30,800,1500,2500,11,Cancer-prone breed. Brachycephalic features and cardiac issues (boxer cardiomyopathy) drive lifetime costs up.,https://www.akc.org/dog-breeds/,2026-05
yorkshire-terrier,dog,Yorkshire Terrier,toy,1.30,1.10,800,1500,2500,14,Long silky coat needs grooming. Dental disease and tracheal collapse are the most common cost drivers.,https://www.akc.org/dog-breeds/,2026-05
siberian-husky,dog,Siberian Husky,large,1.20,1.10,600,1200,2500,12,Heavy double coat (massive shedding). Generally healthy but eye conditions and hip dysplasia documented.,https://www.akc.org/dog-breeds/,2026-05
doberman,dog,Doberman Pinscher,large,0.75,1.30,1000,1800,3000,11,Dilated cardiomyopathy and von Willebrand disease (bleeding disorder) are documented. Pre-purchase health screening matters.,https://www.akc.org/dog-breeds/,2026-05
pug,dog,Pug,small,0.85,1.55,600,1500,3000,12,Brachycephalic — BOAS surgery is common. Eye injuries from prominent eyes. Skin fold infections.,https://www.akc.org/dog-breeds/,2026-05
shih-tzu,dog,Shih Tzu,small,1.40,1.15,500,1000,2500,13,Long coat needs frequent grooming. Eye and dental issues common.,https://www.akc.org/dog-breeds/,2026-05
cavalier-king-charles,dog,Cavalier King Charles Spaniel,small,1.10,1.45,1500,2500,4500,11,Mitral valve disease (heart) and syringomyelia (neurological) are common breed risks. Insurance is often a strong fit.,https://www.akc.org/dog-breeds/,2026-05
boston-terrier,dog,Boston Terrier,small,0.70,1.25,600,1200,2500,13,Brachycephalic features. Eye injuries and corneal ulcers common.,https://www.akc.org/dog-breeds/,2026-05
mastiff,dog,Mastiff,giant,0.85,1.30,1000,1800,3000,9,Hip dysplasia and bloat are documented. Short lifespan due to giant size; large food and anesthesia costs.,https://www.akc.org/dog-breeds/,2026-05
great-dane,dog,Great Dane,giant,0.85,1.30,800,1800,3000,8,Bloat (GDV) is a major risk — preventive gastropexy is common. Cardiac issues and very short lifespan.,https://www.akc.org/dog-breeds/,2026-05
pomeranian,dog,Pomeranian,toy,1.25,1.10,600,1500,3000,14,"Patellar luxation, dental disease, and tracheal collapse. Long-lifespan breed.",https://www.akc.org/dog-breeds/,2026-05
border-collie,dog,Border Collie,medium,1.10,1.10,700,1500,3000,13,Generally healthy. Hip dysplasia and Collie eye anomaly possible. High-energy lifestyle adds daycare/training costs.,https://www.akc.org/dog-breeds/,2026-05
bernese-mountain-dog,dog,Bernese Mountain Dog,giant,1.30,1.45,1500,2500,4500,8,Cancer-prone breed (especially histiocytic sarcoma). Hip and elbow dysplasia. Very short lifespan.,https://www.akc.org/dog-breeds/,2026-05
cane-corso,dog,Cane Corso,giant,0.80,1.25,1500,2500,4500,10,Hip dysplasia and eyelid conditions (entropion/ectropion). Massive food and anesthesia cost lines.,https://www.akc.org/dog-breeds/,2026-05
miniature-schnauzer,dog,Miniature Schnauzer,small,1.40,1.10,800,1500,2500,14,Pancreatitis-prone (avoid fatty foods). Regular grooming required to maintain coat.,https://www.akc.org/dog-breeds/,2026-05
cocker-spaniel,dog,Cocker Spaniel,medium,1.30,1.20,800,1500,2500,13,Recurring ear infections (drop ears + heavy fur). Eye conditions. Regular grooming a must.,https://www.akc.org/dog-breeds/,2026-05
australian-cattle-dog,dog,Australian Cattle Dog,medium,0.85,1.05,500,1000,2000,14,Healthy breed. Very high energy — many owners use daycare or hire walkers. Deafness can occur.,https://www.akc.org/dog-breeds/,2026-05
newfoundland,dog,Newfoundland,giant,1.40,1.30,1500,2500,4500,9,"Hip and elbow dysplasia, cardiac issues (subaortic stenosis), drooling. Very large food and anesthesia bills.",https://www.akc.org/dog-breeds/,2026-05
bengal,cat,Bengal,medium,0.80,1.15,1000,1800,3500,14,Active and playful. HCM screening recommended. Some states regulate ownership of early-generation Bengals.,https://cfa.org/breeds/,2026-05
british-shorthair,cat,British Shorthair,medium,0.85,1.10,1000,1800,3000,14,Generally healthy. HCM and PKD screening recommended in breeding lines.,https://cfa.org/breeds/,2026-05
sphynx,cat,Sphynx,medium,1.30,1.30,1500,2500,4500,13,"Hairless cats need weekly bathing, sun protection, and warmth. HCM screening recommended.",https://cfa.org/breeds/,2026-05
scottish-fold,cat,Scottish Fold,medium,0.85,1.45,1000,1800,3500,13,Osteochondrodysplasia (joint disease) is intrinsic to the folded-ear gene. Veterinary associations have raised welfare concerns about the breed.,https://cfa.org/breeds/,2026-05
goldendoodle,dog,Goldendoodle,large,1.35,1.20,1500,2500,3500,12,"Designer cross of Golden Retriever and Poodle. Non-shedding low-allergen coat needs professional grooming every 6-8 weeks. Prone to hip dysplasia, ear infections, allergies, and bloat.",https://www.akc.org/dog-breeds/,2026-05
labradoodle,dog,Labradoodle,large,1.35,1.15,1500,2200,3000,13,"Cross of Labrador Retriever and Poodle. Coat ranges from wavy to curly. Hip dysplasia, progressive retinal atrophy, ear infections, and allergies are common.",https://www.akc.org/dog-breeds/,2026-05
bernedoodle,dog,Bernedoodle,large,1.40,1.25,2500,3500,5000,12,"Cross of Bernese Mountain Dog and Poodle. Premium-priced designer breed. Prone to hip and elbow dysplasia, sebaceous adenitis, and bloat.",https://www.akc.org/dog-breeds/,2026-05
cavapoo,dog,Cavapoo,small,1.30,1.30,1500,2200,3000,13,Cross of Cavalier King Charles Spaniel and Toy/Miniature Poodle. Inherits Cavalier-line cardiac risks including mitral valve disease.,https://www.akc.org/dog-breeds/,2026-05
shiba-inu,dog,Shiba Inu,small,1.05,1.10,1400,2200,3500,14,"Spitz-type Japanese breed. Self-cleaning coat needs minimal grooming. Prone to allergies, luxating patella, glaucoma, and hypothyroidism.",https://www.akc.org/dog-breeds/,2026-05
belgian-malinois,dog,Belgian Malinois,large,1.00,1.15,1000,2000,9000,14,"Working/protection breed used by military and police. Prone to hip dysplasia, elbow dysplasia, and epilepsy. High energy requires significant training budget.",https://www.akc.org/dog-breeds/,2026-05
havanese,dog,Havanese,small,1.30,1.15,1000,1800,2500,14,"National dog of Cuba. Long silky coat requires daily brushing and regular professional grooming. Prone to luxating patella, hip dysplasia, mitral valve disease, and deafness.",https://www.akc.org/dog-breeds/,2026-05
maltese,dog,Maltese,small,1.25,1.20,1000,1800,2500,14,"Ancient toy breed. Long white coat needs daily brushing. Prone to dental disease, luxating patella, tracheal collapse, and portosystemic liver shunt.",https://www.akc.org/dog-breeds/,2026-05
vizsla,dog,Vizsla,large,1.00,1.10,1000,1700,2500,12,"Hungarian pointing breed. Short copper coat needs minimal grooming. Prone to hip dysplasia, hypothyroidism, and lymphoma. Very active.",https://www.akc.org/dog-breeds/,2026-05
saint-bernard,dog,Saint Bernard,giant,1.15,1.40,1000,1800,2500,9,"Giant alpine rescue breed. Heavy double coat sheds heavily. Prone to bloat, hip and elbow dysplasia, dilated cardiomyopathy, osteosarcoma, and entropion.",https://www.akc.org/dog-breeds/,2026-05
american-shorthair,cat,American Shorthair,medium,1.00,1.00,500,900,1500,16,The most common cat in the U.S. Robust short coat needs minimal grooming. Mostly healthy with occasional hypertrophic cardiomyopathy and hip dysplasia.,https://cfa.org/breeds/,2026-05
savannah-cat,cat,Savannah Cat,large,1.00,1.15,1000,5000,25000,17,"Hybrid descended from African serval. F1-F3 generations $5,000-$25,000; F4-F5 $1,500-$3,000. Prone to hypertrophic cardiomyopathy and pyruvate kinase deficiency. Legal status varies by state.",https://cfa.org/breeds/,2026-05
russian-blue,cat,Russian Blue,medium,1.00,1.00,500,1100,2000,18,"Quiet, gentle pedigree cat with distinctive blue-grey double coat. Very healthy with few documented inherited disorders. Long-lived (16-20 years typical).",https://cfa.org/breeds/,2026-05
norwegian-forest-cat,cat,Norwegian Forest Cat,large,1.15,1.10,800,1200,1500,15,"Large semi-longhair Scandinavian breed. Water-resistant double coat sheds seasonally. Prone to hypertrophic cardiomyopathy, glycogen storage disease type IV, and hip dysplasia.",https://cfa.org/breeds/,2026-05
abyssinian,cat,Abyssinian,medium,1.00,1.10,500,1000,1500,14,"Ticked-coat active breed with strong East African ancestry. Prone to progressive retinal atrophy, pyruvate kinase deficiency, gingivitis, and renal amyloidosis.",https://cfa.org/breeds/,2026-05
munchkin,cat,Munchkin,small,1.00,1.15,1000,1700,2500,13,Short-legged cat breed from a spontaneous dominant gene mutation. Banned by some registries due to welfare concerns. Prone to lordosis and pectus excavatum.,https://cfa.org/breeds/,2026-05
basset-hound,dog,Basset Hound,medium,1.05,1.10,800,1500,2500,12,Long back + drop ears drive IVDD and chronic ear-infection cost. Obesity-prone.,https://www.akc.org/dog-breeds/,2026-05
bichon-frise,dog,Bichon Frise,small,1.30,1.15,1500,2200,3500,14,Allergic dermatitis is extremely common. Monthly professional grooming is non-negotiable.,https://www.akc.org/dog-breeds/,2026-05
cockapoo,dog,Cockapoo,small,1.30,1.10,1500,2500,4000,14,Cocker × Poodle cross. Low-shedding but high grooming. Ear-infection risk inherited from Cocker side.,https://www.akc.org/dog-breeds/,2026-05
german-shorthaired-pointer,dog,German Shorthaired Pointer,large,1.00,1.05,800,1500,3000,13,Very high-energy sporting breed. Bloat risk and orthopedic costs drive the bill if exercised inadequately.,https://www.akc.org/dog-breeds/,2026-05
great-pyrenees,dog,Great Pyrenees,giant,1.15,1.15,800,1500,3000,11,"Giant breed — anesthesia, surgery, and medication doses all scale with body weight. Bone-cancer risk meaningful.",https://www.akc.org/dog-breeds/,2026-05
mixed-breed,dog,Mixed Breed Dog,medium,1.00,0.90,0,250,600,13,Hybrid vigor + adoption-fee pricing make mixed-breed dogs the most cost-effective option for most households.,https://avmajournals.avma.org/view/journals/javma/242/11/javma.242.11.1549.xml,2026-05
pembroke-welsh-corgi,dog,Pembroke Welsh Corgi,small,1.05,1.10,1500,2200,3500,13,"Long back + heavy shedding. IVDD, hip dysplasia, and degenerative myelopathy are breed-specific risks.",https://www.akc.org/dog-breeds/,2026-05
west-highland-white-terrier,dog,West Highland White Terrier,small,1.15,1.15,1200,2000,3000,13,Atopic dermatitis is the famous Westie issue. Westie lung disease (idiopathic pulmonary fibrosis) is a documented breed-specific risk.,https://www.akc.org/dog-breeds/,2026-05
devon-rex,cat,Devon Rex,small,1.05,1.15,1500,2500,4000,14,"Wavy short coat, very low shedding, intensely social. HCM and congenital myasthenia gravis are breed-specific risks.",https://cfa.org/breeds/,2026-05
domestic-shorthair,cat,Domestic Shorthair,small,1.00,0.90,0,100,300,15,Mixed-genetics non-pedigree cat — the most common cat type in U.S. households. Hybrid vigor + adoption pricing make this the most cost-effective cat option.,https://www.aspca.org/about-us/aspca-policy-and-position-statements,2026-05
exotic-shorthair,cat,Exotic Shorthair,small,1.10,1.25,1500,2500,4000,14,"Brachycephalic Persian-derivative with a short coat. Eye discharge, dental crowding, PKD risk inherited from Persian line.",https://cfa.org/breeds/,2026-05
siberian-cat,cat,Siberian Cat,medium,1.15,1.05,1200,2000,3500,14,"Heavy triple coat, generally robust, marketed as lower-allergen due to reduced Fel d 1 production in many individuals.",https://cfa.org/breeds/,2026-05
rhodesian-ridgeback,dog,Rhodesian Ridgeback,large,1.00,1.05,1500,2500,4000,11,"Distinctive ridge along the spine. Dermoid sinus (congenital), hip dysplasia, and bloat are the breed-specific costs to plan for.",https://www.akc.org/dog-breeds/,2026-05
soft-coated-wheaten-terrier,dog,Soft Coated Wheaten Terrier,medium,1.20,1.20,1500,2500,4000,13,Low-shedding silky coat needs daily brushing. Protein-losing nephropathy (PLN) and protein-losing enteropathy (PLE) are documented breed-specific risks.,https://www.akc.org/dog-breeds/,2026-05
burmese,cat,Burmese,small,1.00,1.15,1500,2200,3500,16,"Highly social, dog-like cat. Hypokalemic polymyopathy (DNA testable), diabetes, and HCM are documented breed risks. Among the longest-lived cat breeds.",https://cfa.org/breeds/,2026-05
oriental-shorthair,cat,Oriental Shorthair,small,1.00,1.15,1200,2000,3500,13,Siamese body type in 300+ colors. Extremely vocal and social. Amyloidosis (kidney/liver) and anesthesia sensitivity are breed-specific concerns.,https://cfa.org/breeds/,2026-05
birman,cat,Birman,medium,1.05,1.10,1200,2200,3500,15,"Color-pointed semi-longhair with distinctive white ""gloves"" on all four paws. HCM and congenital hypotrichosis are documented breed risks. Coat lacks undercoat — minimal matting.",https://cfa.org/breeds/,2026-05
